DESCRIPCION_VIGIFLOW,DESCRIPCION_DHIS2,DESCRIPCION_HOMOLOGADA
EL CARMELO (EL PUN) (040151),EL CARMELO (EL PUN) (040151),EL CARMELO (EL PUN)
POMPEYA (220352),POMPEYA (220352),POMPEYA
*CUYABENO (210151),*CUYABENO (210151),*CUYABENO (210151)
GUANAZAN (071353),GUANAZAN (071353),GUANAZAN
MORASPUNGO (050351),MORASPUNGO (050351),MORASPUNGO
SAN PEDRO DE LA BENDITA (110353),SAN PEDRO DE LA BENDITA (110353),SAN PEDRO DE LA BENDITA
5 DE AGOSTO (080102),5 DE AGOSTO (080102),5 DE AGOSTO
CELIANO MONGE (180102),CELIANO MONGE (180102),CELIANO MONGE
EL ANGEL (RURAL) (040350),EL ANGEL (RURAL) (040350),EL ANGEL (RURAL)
SAN FRANCISCO DE SAGEO (030252),SAN FRANCISCO DE SAGEO (030252),SAN FRANCISCO DE SAGEO
*MACHALILLA (130655),*MACHALILLA (130655),*MACHALILLA (130655)
PATATE (180550),PATATE (180550),PATATE
EL LIMO (MARIANA DE JESUS) (111053),EL LIMO (MARIANA DE JESUS) (111053),EL LIMO (MARIANA DE JESUS)
TABIAZO (080165),TABIAZO (080165),TABIAZO
PLATANILLOS (071402),PLATANILLOS (071402),PLATANILLOS
ABDON CALDERON (LA UNION) (010851),ABDON CALDERON (LA UNION) (010851),ABDON CALDERON (LA UNION)
SAN MIGUEL DE CUYES (140257),SAN MIGUEL DE CUYES (140257),SAN MIGUEL DE CUYES
GUARAINAG (010556),GUARAINAG (010556),GUARAINAG
SAN MATEO (130803),SAN MATEO (130803),SAN MATEO
SAN VICENTE (020556),SAN VICENTE (020556),SAN VICENTE
GUAYLLABAMBA (170163),GUAYLLABAMBA (170163),GUAYLLABAMBA
LOMAS DE SARGENTILLO (092450),LOMAS DE SARGENTILLO (092450),LOMAS DE SARGENTILLO
TOTORAS (180166),TOTORAS (180166),TOTORAS
CUNCHIBAMBA (180167),CUNCHIBAMBA (180167),CUNCHIBAMBA
PALORA (METZERA) (140450),PALORA (METZERA) (140450),PALORA (METZERA)
10 DE NOVIEMBRE (120701),10 DE NOVIEMBRE (120701),10 DE NOVIEMBRE
SUCRE (090111),SUCRE (090111),SUCRE
ABRAHAM CALAZACON (230101),ABRAHAM CALAZACON (230101),ABRAHAM CALAZACON
SINAI (140158),SINAI (140158),SINAI
10 DE AGOSTO (210160),10 DE AGOSTO (210160),10 DE AGOSTO
COLONCHE (240152),COLONCHE (240152),COLONCHE
ZAPALLO (130552),ZAPALLO (130552),ZAPALLO
CHONTAPUNTA (150153),CHONTAPUNTA (150153),CHONTAPUNTA
TINGO (050457),TINGO (050457),TINGO
JUAN BAUTISTA AGUIRRE (LOS TINTOS) (090652),JUAN BAUTISTA AGUIRRE (LOS TINTOS) (090652),JUAN BAUTISTA AGUIRRE (LOS TINTOS)
EL SAGRARIO (100301),EL SAGRARIO (100301),EL SAGRARIO
LOS TRES CERRITOS (070904),LOS TRES CERRITOS (070904),LOS TRES CERRITOS
MARISCAL SUCRE (170123),MARISCAL SUCRE (170123),MARISCAL SUCRE
SAN PEDRO DE VILCABAMBA (110158),SAN PEDRO DE VILCABAMBA (110158),SAN PEDRO DE VILCABAMBA
SAN MARTIN DE PUZHIO (011154),SAN MARTIN DE PUZHIO (011154),SAN MARTIN DE PUZHIO
LA CANDELARIA (060955),LA CANDELARIA (060955),LA CANDELARIA
XIMENA (090114),XIMENA (090114),XIMENA
SIMON BOLIVAR (CAB. EN MUSHULLACTA) (160162),SIMON BOLIVAR (CAB. EN MUSHULLACTA) (160162),SIMON BOLIVAR (CAB. EN MUSHULLACTA)
EL PARAISO (070702),EL PARAISO (070702),EL PARAISO
7 DE AGOSTO (121002),7 DE AGOSTO (121002),7 DE AGOSTO
EL CONDADO (170110),EL CONDADO (170110),EL CONDADO
LOS ESTEROS (130801),LOS ESTEROS (130801),LOS ESTEROS
GARCIA MORENO (090105),GARCIA MORENO (090105),GARCIA MORENO
* CANOA (131451),* CANOA (131451),* CANOA (131451)
PIOTER (040155),PIOTER (040155),PIOTER
CHICAÑA (190551),CHICAÑA (190551),CHICAÑA
SIGCHOS (050750),SIGCHOS (050750),SIGCHOS
SAN ANTONIO (130357),SAN ANTONIO (130357),SAN ANTONIO
JUAN GOMEZ RENDON (PROGRESO) (090152),JUAN GOMEZ RENDON (PROGRESO) (090152),JUAN GOMEZ RENDON (PROGRESO)
SAN VICENTE DE PUSIR (040254),SAN VICENTE DE PUSIR (040254),SAN VICENTE DE PUSIR
JUAN MONTALVO (SAN IGNACIO DE QUIL) (040453),JUAN MONTALVO (SAN IGNACIO DE QUIL) (040453),JUAN MONTALVO (SAN IGNACIO DE QUIL)
*PLAYAS (GRAL. VILLAMIL) (090155),*PLAYAS (GRAL. VILLAMIL) (090155),*PLAYAS (GRAL. VILLAMIL) (090155)
ROCAFUERTE (131250),ROCAFUERTE (131250),ROCAFUERTE
SAN JOSE DE CHALTURA (100253),SAN JOSE DE CHALTURA (100253),SAN JOSE DE CHALTURA
EL VECINO (010105),EL VECINO (010105),EL VECINO
HUAMBI (140652),HUAMBI (140652),HUAMBI
LUIS TELLO (LAS PALMAS) (080104),LUIS TELLO (LAS PALMAS) (080104),LUIS TELLO (LAS PALMAS)
RIOCHICO (RIO CHICO) (130155),RIOCHICO (RIO CHICO) (130155),RIOCHICO (RIO CHICO)
PUERTO LIMON (230152),PUERTO LIMON (230152),PUERTO LIMON
EL ROSARIO (RUMICHACA) (180755),EL ROSARIO (RUMICHACA) (180755),EL ROSARIO (RUMICHACA)
PUERTO MISAHUALLI (150155),PUERTO MISAHUALLI (150155),PUERTO MISAHUALLI
EL CARMEN (RURAL) (130450),EL CARMEN (RURAL) (130450),EL CARMEN (RURAL)
LA TRONCAL (030450),LA TRONCAL (030450),LA TRONCAL
TOTORACOCHA (010113),TOTORACOCHA (010113),TOTORACOCHA
SAN FRANCISCO (080356),SAN FRANCISCO (080356),SAN FRANCISCO
VENTANAS (URBANO) (120702),VENTANAS (URBANO) (120702),VENTANAS (URBANO)
RUMIPAMBA (180651),RUMIPAMBA (180651),RUMIPAMBA
EL PARAISO (071452),EL PARAISO (071452),EL PARAISO
COLORADO (130903),COLORADO (130903),COLORADO
EL PIEDRERO (900451),EL PIEDRERO (900451),EL PIEDRERO
AURELIO BAYAS MARTÍNEZ (030101),AURELIO BAYAS MARTÍNEZ (030101),AURELIO BAYAS MARTÍNEZ
*PAN (010558),*PAN (010558),*PAN (010558)
GUASUNTOS (060253),GUASUNTOS (060253),GUASUNTOS
TARQUI (130804),TARQUI (130804),TARQUI
CUCHIL (010951),CUCHIL (010951),CUCHIL
TUMBACO (170184),TUMBACO (170184),TUMBACO
LA PAZ (190451),LA PAZ (190451),LA PAZ
*LAS NAVES (020154),*LAS NAVES (020154),*LAS NAVES (020154)
MONTECRISTI (RURAL) (130950),MONTECRISTI (RURAL) (130950),MONTECRISTI (RURAL)
CAMARONES (CAB. EN SAN VICENTE) (080152),CAMARONES (CAB. EN SAN VICENTE) (080152),CAMARONES (CAB. EN SAN VICENTE)
*SAN JOSÉ DEL PAYAMINO (150755),*SAN JOSÉ DEL PAYAMINO (150755),*SAN JOSÉ DEL PAYAMINO (150755)
SARACAY (071056),SARACAY (071056),SARACAY
VALENCIA (RURAL) (121150),VALENCIA (RURAL) (121150),VALENCIA (RURAL)
TAMBILLO (080560),TAMBILLO (080560),TAMBILLO
EL PROGRESO (CAB. EN ZHOTA) (010452),EL PROGRESO (CAB. EN ZHOTA) (010452),EL PROGRESO (CAB. EN ZHOTA)
LA UNION (011152),LA UNION (011152),LA UNION
SAMBORONDON (RURAL) (091650),SAMBORONDON (RURAL) (091650),SAMBORONDON (RURAL)
SANTA ROSA (URBANO) (071201),SANTA ROSA (URBANO) (071201),SANTA ROSA (URBANO)
GRAL. LEONIDAS PLAZA GUTIERREZ (140350),GRAL. LEONIDAS PLAZA GUTIERREZ (140350),GRAL. LEONIDAS PLAZA GUTIERREZ
SHUSHUFINDI (210450),SHUSHUFINDI (210450),SHUSHUFINDI
JUAN DE VELASCO (PANGOR) (060353),JUAN DE VELASCO (PANGOR) (060353),JUAN DE VELASCO (PANGOR)
PUERTO RODRIGUEZ (210353),PUERTO RODRIGUEZ (210353),PUERTO RODRIGUEZ
SANTA ROSA DE FLANDES (091153),SANTA ROSA DE FLANDES (091153),SANTA ROSA DE FLANDES
SANSAHUARI (CAB. EN SANSAHUARI) (210355),SANSAHUARI (CAB. EN SANSAHUARI) (210355),SANSAHUARI (CAB. EN SANSAHUARI)
PUERTO AYORA (200350),PUERTO AYORA (200350),PUERTO AYORA
MACHANGARA (010108),MACHANGARA (010108),MACHANGARA
EL INGENIO (110655),EL INGENIO (110655),EL INGENIO
SAN JOSE DE QUICHINCHE (100455),SAN JOSE DE QUICHINCHE (100455),SAN JOSE DE QUICHINCHE
CHIQUICHA (CAB. EN CHIQUICHA GRANDE) (180754),CHIQUICHA (CAB. EN CHIQUICHA GRANDE) (180754),CHIQUICHA (CAB. EN CHIQUICHA GRANDE)
TARQUI (160163),TARQUI (160163),TARQUI
CATACOCHA (URBANO) (110901),CATACOCHA (URBANO) (110901),CATACOCHA (URBANO)
GENERAL PEDRO J. MONTERO (BOLICHE) (092053),GENERAL PEDRO J. MONTERO (BOLICHE) (092053),GENERAL PEDRO J. MONTERO (BOLICHE)
SANTA ROSA (150454),SANTA ROSA (150454),SANTA ROSA
RIOBAMBA (060150),RIOBAMBA (060150),RIOBAMBA
ANDRADE MARIN (LOURDES) (100201),ANDRADE MARIN (LOURDES) (100201),ANDRADE MARIN (LOURDES)
PAQUISHA (190950),PAQUISHA (190950),PAQUISHA
GUAYZIMI (190350),GUAYZIMI (190350),GUAYZIMI
MULUNCAY GRANDE (071357),MULUNCAY GRANDE (071357),MULUNCAY GRANDE
LIMONCOCHA (210451),LIMONCOCHA (210451),LIMONCOCHA
SANTA ROSA DE SUCUMBIOS (210651),SANTA ROSA DE SUCUMBIOS (210651),SANTA ROSA DE SUCUMBIOS
RICAURTE (010162),RICAURTE (010162),RICAURTE
MACARA (110850),MACARA (110850),MACARA
DELEG (030650),DELEG (030650),DELEG
JERUSALEN (030254),JERUSALEN (030254),JERUSALEN
COLON ELOY DEL MARIA (080262),COLON ELOY DEL MARIA (080262),COLON ELOY DEL MARIA
IZAMBA (180156),IZAMBA (180156),IZAMBA
SANTIAGO DE PANANZA (140854),SANTIAGO DE PANANZA (140854),SANTIAGO DE PANANZA
LA CONCEPCION (170117),LA CONCEPCION (170117),LA CONCEPCION
*COJIMÍES (131452),*COJIMÍES (131452),*COJIMÍES (131452)
LLUZHAPA (111153),LLUZHAPA (111153),LLUZHAPA
VICTORIA DEL PORTETE (IRQUIS) (010171),VICTORIA DEL PORTETE (IRQUIS) (010171),VICTORIA DEL PORTETE (IRQUIS)
GUAYTACAMA (GUAITACAMA) (050153),GUAYTACAMA (GUAITACAMA) (050153),GUAYTACAMA (GUAITACAMA)
SAN FRANCISCO DEL VERGEL (190852),SAN FRANCISCO DEL VERGEL (190852),SAN FRANCISCO DEL VERGEL
SAN LUCAS (110157),SAN LUCAS (110157),SAN LUCAS
SANTIAGO (141250),SANTIAGO (141250),SANTIAGO
JUNCAL (030357),JUNCAL (030357),JUNCAL
QUIROGA (130252),QUIROGA (130252),QUIROGA
*ATACAMES (080151),*ATACAMES (080151),*ATACAMES (080151)
CATAMAYO (110301),CATAMAYO (110301),CATAMAYO
*PUERTO QUITO (170187),*PUERTO QUITO (170187),*PUERTO QUITO (170187)
SANTIAGO (110159),SANTIAGO (110159),SANTIAGO
SAN VICENTE (110203),SAN VICENTE (110203),SAN VICENTE
TELEMBI (080261),TELEMBI (080261),TELEMBI
PAMPANAL DE BOLIVAR (080257),PAMPANAL DE BOLIVAR (080257),PAMPANAL DE BOLIVAR
AMALUZA (011351),AMALUZA (011351),AMALUZA
EL CARMEN DE PIJILI (011551),EL CARMEN DE PIJILI (011551),EL CARMEN DE PIJILI
SARDINAS (150455),SARDINAS (150455),SARDINAS
*PABLO SEXTO (140752),*PABLO SEXTO (140752),*PABLO SEXTO (140752)
*CHONTADURO (080155),*CHONTADURO (080155),*CHONTADURO (080155)
SALINAS (020155),SALINAS (020155),SALINAS
CHITAN DE NAVARRETE (040552),CHITAN DE NAVARRETE (040552),CHITAN DE NAVARRETE
SAN ROQUE (100254),SAN ROQUE (100254),SAN ROQUE
NUEVE DE MAYO (070104),NUEVE DE MAYO (070104),NUEVE DE MAYO
LETAMENDI (090106),LETAMENDI (090106),LETAMENDI
TENIENTE HUGO ORTIZ (160164),TENIENTE HUGO ORTIZ (160164),TENIENTE HUGO ORTIZ
GUEL (010953),GUEL (010953),GUEL
SAN JOSE DE POALO (180856),SAN JOSE DE POALO (180856),SAN JOSE DE POALO
URCUQUI (100650),URCUQUI (100650),URCUQUI
PILAGUIN (PILAHUIN) (180161),PILAGUIN (PILAHUIN) (180161),PILAGUIN (PILAHUIN)
BARBONES (SUCRE) (070651),BARBONES (SUCRE) (070651),BARBONES (SUCRE)
ANGEL PEDRO GILER (LA ESTANCILLA) (131552),ANGEL PEDRO GILER (LA ESTANCILLA) (131552),ANGEL PEDRO GILER (LA ESTANCILLA)
BELLAMARIA (070451),BELLAMARIA (070451),BELLAMARIA
GONZALEZ SUAREZ (100453),GONZALEZ SUAREZ (100453),GONZALEZ SUAREZ
ATAHUALPA (131753),ATAHUALPA (131753),ATAHUALPA
PANSALEO (050555),PANSALEO (050555),PANSALEO
PALESTINA (091350),PALESTINA (091350),PALESTINA
SAN LUIS (100402),SAN LUIS (100402),SAN LUIS
*LA PAZ (010455),*LA PAZ (010455),*LA PAZ (010455)
PLAN PILOTO (080853),PLAN PILOTO (080853),PLAN PILOTO
JESUS MARIA (091151),JESUS MARIA (091151),JESUS MARIA
DAULE (URBANO) (090601),DAULE (URBANO) (090601),DAULE (URBANO)
SAN FRANCISCO (100302),SAN FRANCISCO (100302),SAN FRANCISCO
SININCAY (010167),SININCAY (010167),SININCAY
CIANO (111051),CIANO (111051),CIANO
CUYUJA (150752),CUYUJA (150752),CUYUJA
*SIGCHOS (050160),*SIGCHOS (050160),*SIGCHOS (050160)
MULTITUD (060255),MULTITUD (060255),MULTITUD
PADRE JUAN BAUTISTA AGUIRRE (090606),PADRE JUAN BAUTISTA AGUIRRE (090606),PADRE JUAN BAUTISTA AGUIRRE
VALDEZ (LIMONES) (080250),VALDEZ (LIMONES) (080250),VALDEZ (LIMONES)
SANTA TERESITA (110653),SANTA TERESITA (110653),SANTA TERESITA
LAS MERCEDES (020701),LAS MERCEDES (020701),LAS MERCEDES
LA CONCORDIA (080850),LA CONCORDIA (080850),LA CONCORDIA
SABIANGO (LA CAPILLA) (110853),SABIANGO (LA CAPILLA) (110853),SABIANGO (LA CAPILLA)
CATARAMA (120650),CATARAMA (120650),CATARAMA
CONCEPCION (080556),CONCEPCION (080556),CONCEPCION
SANTA CLARA (160160),SANTA CLARA (160160),SANTA CLARA
BILBAO (CAB. EN QUILLUYACU) (060956),BILBAO (CAB. EN QUILLUYACU) (060956),BILBAO (CAB. EN QUILLUYACU)
EL DORADO DE CASCALES (210650),EL DORADO DE CASCALES (210650),EL DORADO DE CASCALES
EL IDEAL (140258),EL IDEAL (140258),EL IDEAL
JIMBILLA (110155),JIMBILLA (110155),JIMBILLA
BARREIRO (120103),BARREIRO (120103),BARREIRO
*YAUPI (140654),*YAUPI (140654),*YAUPI (140654)
CAJABAMBA (060301),CAJABAMBA (060301),CAJABAMBA
28 DE MAYO (SAN JOSE DE YACUAMBI) (190450),28 DE MAYO (SAN JOSE DE YACUAMBI) (190450),28 DE MAYO (SAN JOSE DE YACUAMBI)
NULTI (010158),NULTI (010158),NULTI
AMALUZA (110650),AMALUZA (110650),AMALUZA
PUERTO LOPEZ (131950),PUERTO LOPEZ (131950),PUERTO LOPEZ
LA MENA (170122),LA MENA (170122),LA MENA
GUAMANI (170111),GUAMANI (170111),GUAMANI
27 DE SEPTIEMBRE (040302),27 DE SEPTIEMBRE (040302),27 DE SEPTIEMBRE
CAÑAR (030350),CAÑAR (030350),CAÑAR
VELOZ (060104),VELOZ (060104),VELOZ
CARACOL (120152),CARACOL (120152),CARACOL
CHIGULPE (230103),CHIGULPE (230103),CHIGULPE
IÑAQUITO (170112),IÑAQUITO (170112),IÑAQUITO
SAN VICENTE (011253),SAN VICENTE (011253),SAN VICENTE
LICTO (060156),LICTO (060156),LICTO
AHUANO (150151),AHUANO (150151),AHUANO
SAN MIGUEL (030158),SAN MIGUEL (030158),SAN MIGUEL
*AMALUZA (010551),*AMALUZA (010551),*AMALUZA (010551)
CAROLINA (100153),CAROLINA (100153),CAROLINA
LA ASUNCION (010251),LA ASUNCION (010251),LA ASUNCION
*ISINLIBÍ (ISINLIVÍ) (050454),*ISINLIBÍ (ISINLIVÍ) (050454),*ISINLIBÍ (ISINLIVÍ) (050454)
LA BOCANA (071052),LA BOCANA (071052),LA BOCANA
VALLE (010170),VALLE (010170),VALLE
LA MERCED DE BUENOS AIRES (100652),LA MERCED DE BUENOS AIRES (100652),LA MERCED DE BUENOS AIRES
*PALMAS (010557),*PALMAS (010557),*PALMAS (010557)
*JAMA (131455),*JAMA (131455),*JAMA (131455)
SAN JUAN (010357),SAN JUAN (010357),SAN JUAN
CHANTACO (110151),CHANTACO (110151),CHANTACO
SAN FRANCISCO DE NOVILLO (CAB. EN NOVILLO) (130551),SAN FRANCISCO DE NOVILLO (CAB. EN NOVILLO) (130551),SAN FRANCISCO DE NOVILLO (CAB. EN NOVILLO)
MOCHA (180450),MOCHA (180450),MOCHA
PUNZARA (110106),PUNZARA (110106),PUNZARA
*SAN JOSÉ DE MORONA (140163),*SAN JOSÉ DE MORONA (140163),*SAN JOSÉ DE MORONA (140163)
SAN SEBASTIAN (131152),SAN SEBASTIAN (131152),SAN SEBASTIAN
VALPARAISO (060759),VALPARAISO (060759),VALPARAISO
SAN CAMILO (120502),SAN CAMILO (120502),SAN CAMILO
SANTA MARTHA DE CUBA (040161),SANTA MARTHA DE CUBA (040161),SANTA MARTHA DE CUBA
MARCABELI (070850),MARCABELI (070850),MARCABELI
CALACALI (170154),CALACALI (170154),CALACALI
IMBAYA (SAN LUIS DE COBUENDO) (100251),IMBAYA (SAN LUIS DE COBUENDO) (100251),IMBAYA (SAN LUIS DE COBUENDO)
EL PORVENIR DEL CARMEN (190851),EL PORVENIR DEL CARMEN (190851),EL PORVENIR DEL CARMEN
EL ENO (210155),EL ENO (210155),EL ENO
MACUMA (140952),MACUMA (140952),MACUMA
LA PEAÑA (070953),LA PEAÑA (070953),LA PEAÑA
SAN MIGUEL DE CONCHAY (140356),SAN MIGUEL DE CONCHAY (140356),SAN MIGUEL DE CONCHAY
GARZAREAL (111352),GARZAREAL (111352),GARZAREAL
NUEVA LOJA (210150),NUEVA LOJA (210150),NUEVA LOJA
CRISTOBAL COLON (040551),CRISTOBAL COLON (040551),CRISTOBAL COLON
SAN JOSE DE CHAN (080458),SAN JOSE DE CHAN (080458),SAN JOSE DE CHAN
7 DE OCTUBRE (120507),7 DE OCTUBRE (120507),7 DE OCTUBRE
*ISIDRO AYORA (SOLEDAD) (092451),*ISIDRO AYORA (SOLEDAD) (092451),*ISIDRO AYORA (SOLEDAD) (092451)
UTUANA (110253),UTUANA (110253),UTUANA
AMBUQUI (100151),AMBUQUI (100151),AMBUQUI
FLAVIO ALFARO (130550),FLAVIO ALFARO (130550),FLAVIO ALFARO
SAN MATEO (080163),SAN MATEO (080163),SAN MATEO
EL SAGRARIO (100103),EL SAGRARIO (100103),EL SAGRARIO
ATAHUALPA (HABASPAMBA) (170153),ATAHUALPA (HABASPAMBA) (170153),ATAHUALPA (HABASPAMBA)
CUTUGLAHUA (170353),CUTUGLAHUA (170353),CUTUGLAHUA
SANGUILLIN (110254),SANGUILLIN (110254),SANGUILLIN
JOSE MARIA VELASCO IBARRA (091006),JOSE MARIA VELASCO IBARRA (091006),JOSE MARIA VELASCO IBARRA
HUASAGA (CAB EN WAMPUIK) (140951),HUASAGA (CAB EN WAMPUIK) (140951),HUASAGA (CAB EN WAMPUIK)
MACARA (MANUEL ENRIQUE RENGEL SUQUILANDA) (110802),MACARA (MANUEL ENRIQUE RENGEL SUQUILANDA) (110802),MACARA (MANUEL ENRIQUE RENGEL SUQUILANDA)
EL GUISME (190651),EL GUISME (190651),EL GUISME
CHUPIANZA (140552),CHUPIANZA (140552),CHUPIANZA
EL CORAZON (050350),EL CORAZON (050350),EL CORAZON
SAN FELIPE DE OÑA (011050),SAN FELIPE DE OÑA (011050),SAN FELIPE DE OÑA
GUALEL (110154),GUALEL (110154),GUALEL
PINGUILI (180451),PINGUILI (180451),PINGUILI
QUINGUE (OLMEDO PERDOMO FRANCO) (080354),QUINGUE (OLMEDO PERDOMO FRANCO) (080354),QUINGUE (OLMEDO PERDOMO FRANCO)
MALACATOS (VALLADOLID) (110156),MALACATOS (VALLADOLID) (110156),MALACATOS (VALLADOLID)
SAN ISIDRO (131457),SAN ISIDRO (131457),SAN ISIDRO
EL TRIUNFO (050203),EL TRIUNFO (050203),EL TRIUNFO
ROSA MARIA (091005),ROSA MARIA (091005),ROSA MARIA
LA NUEVA UNION (121103),LA NUEVA UNION (121103),LA NUEVA UNION
SAN GERARDO DE PACAICAGUAN (060755),SAN GERARDO DE PACAICAGUAN (060755),SAN GERARDO DE PACAICAGUAN
BOLASPAMBA (111355),BOLASPAMBA (111355),BOLASPAMBA
BELLAVISTA (110651),BELLAVISTA (110651),BELLAVISTA
FRANCISCO PACHECO (130107),FRANCISCO PACHECO (130107),FRANCISCO PACHECO
SABANILLA (110456),SABANILLA (110456),SABANILLA
COTOCOLLAO (170106),COTOCOLLAO (170106),COTOCOLLAO
SAN JOSE (120503),SAN JOSE (120503),SAN JOSE
GONZALEZ SUAREZ (040101),GONZALEZ SUAREZ (040101),GONZALEZ SUAREZ
LA UNION (121102),LA UNION (121102),LA UNION
EL EDEN (220155),EL EDEN (220155),EL EDEN
SANTIAGO (020555),SANTIAGO (020555),SANTIAGO
PORTOVELO (071150),PORTOVELO (071150),PORTOVELO
PATUCA (140553),PATUCA (140553),PATUCA
LA BELLEZA (220158),LA BELLEZA (220158),LA BELLEZA
HUALTACO (070703),HUALTACO (070703),HUALTACO
LA LIBERTAD (240250),LA LIBERTAD (240250),LA LIBERTAD
LA MAGDALENA (170121),LA MAGDALENA (170121),LA MAGDALENA
ECUADOR (070701),ECUADOR (070701),ECUADOR
BELLAVISTA (071251),BELLAVISTA (071251),BELLAVISTA
LA PAZ (040554),LA PAZ (040554),LA PAZ
BOLIVAR (070901),BOLIVAR (070901),BOLIVAR
ZAMBI (110354),ZAMBI (110354),ZAMBI
SANTA ANA (010164),SANTA ANA (010164),SANTA ANA
MANTA (URBANO) (130802),MANTA (URBANO) (130802),MANTA (URBANO)
LA MERCED (180105),LA MERCED (180105),LA MERCED
MACHACHI (170350),MACHACHI (170350),MACHACHI
SAN ANTONIO (030358),SAN ANTONIO (030358),SAN ANTONIO
ALFREDO BAQUERIZO MORENO (JUJAN) (090250),ALFREDO BAQUERIZO MORENO (JUJAN) (090250),ALFREDO BAQUERIZO MORENO (JUJAN)
MONTALVO (080160),MONTALVO (080160),MONTALVO
24 DE MAYO (120508),24 DE MAYO (120508),24 DE MAYO
AYACUCHO (090101),AYACUCHO (090101),AYACUCHO
EL ROSARIO (110552),EL ROSARIO (110552),EL ROSARIO
ANDRES VERA (130106),ANDRES VERA (130106),ANDRES VERA
TURUBAMBA (170132),TURUBAMBA (170132),TURUBAMBA
SAN BLAS (010110),SAN BLAS (010110),SAN BLAS
TURUPAMBA (030253),TURUPAMBA (030253),TURUPAMBA
BALLENITA (240101),BALLENITA (240101),BALLENITA
LAS NIEVES (CHAYA) (010453),LAS NIEVES (CHAYA) (010453),LAS NIEVES (CHAYA)
CHILIBULO (170107),CHILIBULO (170107),CHILIBULO
CHACRAS (070251),CHACRAS (070251),CHACRAS
MEMBRILLAL (130656),MEMBRILLAL (130656),MEMBRILLAL
CAÑAQUEMADA (070956),CAÑAQUEMADA (070956),CAÑAQUEMADA
NAMBACOLA (110753),NAMBACOLA (110753),NAMBACOLA
CONOCOTO (170156),CONOCOTO (170156),CONOCOTO
TARIFA (091651),TARIFA (091651),TARIFA
PLAN PILOTO (230253),PLAN PILOTO (230253),PLAN PILOTO
GUAMOTE (060650),GUAMOTE (060650),GUAMOTE
SELVA ALEGRE (CAB. EN SAN MIGUEL DE PAMPLONA) (100459),SELVA ALEGRE (CAB. EN SAN MIGUEL DE PAMPLONA) (100459),SELVA ALEGRE (CAB. EN SAN MIGUEL DE PAMPLONA)
FAJARDO (170504),FAJARDO (170504),FAJARDO
CHUMBLIN (010751),CHUMBLIN (010751),CHUMBLIN
LOS ANGELES (120754),LOS ANGELES (120754),LOS ANGELES
SALINAS (100156),SALINAS (100156),SALINAS
PABLO ARENAS (100653),PABLO ARENAS (100653),PABLO ARENAS
QUINCHICOTO (180951),QUINCHICOTO (180951),QUINCHICOTO
*PUERTO LÓPEZ (130659),*PUERTO LÓPEZ (130659),*PUERTO LÓPEZ (130659)
SANTA ELENA (URBANO) (240102),SANTA ELENA (URBANO) (240102),SANTA ELENA (URBANO)
VIRGEN DE FATIMA (092056),VIRGEN DE FATIMA (092056),VIRGEN DE FATIMA
BOMBOLI (230102),BOMBOLI (230102),BOMBOLI
16 DE AGOSTO (140455),16 DE AGOSTO (140455),16 DE AGOSTO
SAN JUAN DE MUYUNA (150158),SAN JUAN DE MUYUNA (150158),SAN JUAN DE MUYUNA
AMBATILLO (180151),AMBATILLO (180151),AMBATILLO
5 DE JUNIO (CAB. EN UIMBI) (080555),5 DE JUNIO (CAB. EN UIMBI) (080555),5 DE JUNIO (CAB. EN UIMBI)
MOLLETURO (010157),MOLLETURO (010157),MOLLETURO
SACAPALCA (110756),SACAPALCA (110756),SACAPALCA
LA ECUATORIANA (170118),LA ECUATORIANA (170118),LA ECUATORIANA
SAN MIGUEL DE IBARRA (100150),SAN MIGUEL DE IBARRA (100150),SAN MIGUEL DE IBARRA
GUAYQUICHUMA (110352),GUAYQUICHUMA (110352),GUAYQUICHUMA
SAN JOSE DE PAYAMINO (220453),SAN JOSE DE PAYAMINO (220453),SAN JOSE DE PAYAMINO
BUENAVISTA (110551),BUENAVISTA (110551),BUENAVISTA
VALENCIA (URBANO) (121101),VALENCIA (URBANO) (121101),VALENCIA (URBANO)
SANTA FE (SANTA FE) (020158),SANTA FE (SANTA FE) (020158),SANTA FE (SANTA FE)
*MINDO (170167),*MINDO (170167),*MINDO (170167)
ZARUMA (071350),ZARUMA (071350),ZARUMA
MONTECRISTI (URBANO) (130902),MONTECRISTI (URBANO) (130902),MONTECRISTI (URBANO)
LOS LOJAS (ENRIQUE BAQUERIZO MORENO) (090656),LOS LOJAS (ENRIQUE BAQUERIZO MORENO) (090656),LOS LOJAS (ENRIQUE BAQUERIZO MORENO)
ORIANGA (110956),ORIANGA (110956),ORIANGA
HONORATO VASQUEZ (CAB EN VASQUEZ) (131352),HONORATO VASQUEZ (CAB EN VASQUEZ) (131352),HONORATO VASQUEZ (CAB EN VASQUEZ)
GUAYAQUIL DE ALPACHACA (100102),GUAYAQUIL DE ALPACHACA (100102),GUAYAQUIL DE ALPACHACA
NAZON (CAB. EN PAMPA DE DOMINGUEZ) (030251),NAZON (CAB. EN PAMPA DE DOMINGUEZ) (030251),NAZON (CAB. EN PAMPA DE DOMINGUEZ)
GALERA (080353),GALERA (080353),GALERA
UZHCURRUMI (070955),UZHCURRUMI (070955),UZHCURRUMI
YAMANA (110959),YAMANA (110959),YAMANA
