DESCRIPCION_VIGIFLOW,DESCRIPCION_DHIS2,DESCRIPCION_HOMOLOGADA
INES ARANGO (CAB. EN WESTERN) (220157),INES ARANGO (CAB. EN WESTERN) (220157),INES ARANGO (CAB. EN WESTERN)
PUMALLACTA (060257),PUMALLACTA (060257),PUMALLACTA
FLORES (060154),FLORES (060154),FLORES
BACHILLERO (131551),BACHILLERO (131551),BACHILLERO
SAN JACINTO DE BUENA FE (RURAL) (121050),SAN JACINTO DE BUENA FE (RURAL) (121050),SAN JACINTO DE BUENA FE (RURAL)
UYUMBICHO (170357),UYUMBICHO (170357),UYUMBICHO
NABON (010450),NABON (010450),NABON
SAN FRANCISCO DE BORJA (VIRGILIO DAVILA) (150754),SAN FRANCISCO DE BORJA (VIRGILIO DAVILA) (150754),SAN FRANCISCO DE BORJA (VIRGILIO DAVILA)
SANTA ANA (131301),SANTA ANA (131301),SANTA ANA
QUIROGA (100356),QUIROGA (100356),QUIROGA
CENTRO HISTORICO (170103),CENTRO HISTORICO (170103),CENTRO HISTORICO
VELASCO IBARRA (CAB. EL EMPALME) (090850),VELASCO IBARRA (CAB. EL EMPALME) (090850),VELASCO IBARRA (CAB. EL EMPALME)
OTAVALO (100450),OTAVALO (100450),OTAVALO
PANO (150154),PANO (150154),PANO
*ARAJUNO (160151),*ARAJUNO (160151),*ARAJUNO (160151)
AMAZONAS (ROSARIO DE CUYES) (140251),AMAZONAS (ROSARIO DE CUYES) (140251),AMAZONAS (ROSARIO DE CUYES)
TOSAGUA (131550),TOSAGUA (131550),TOSAGUA
QUINGEO (010161),QUINGEO (010161),QUINGEO
CAHUASQUI (100651),CAHUASQUI (100651),CAHUASQUI
ARCHIDONA (150350),ARCHIDONA (150350),ARCHIDONA
UNAMUNCHO (180168),UNAMUNCHO (180168),UNAMUNCHO
SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO) (010559),SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO) (010559),SAN CRISTOBAL (CARLOS ORDOÑEZ LAZO)
CORONEL LORENZO DE GARAYCOA (PEDREGAL) (092251),CORONEL LORENZO DE GARAYCOA (PEDREGAL) (092251),CORONEL LORENZO DE GARAYCOA (PEDREGAL)
GUASAGANDA (CAB. EN GUASAGANDA CENTRO) (050251),GUASAGANDA (CAB. EN GUASAGANDA CENTRO) (050251),GUASAGANDA (CAB. EN GUASAGANDA CENTRO)
GUALAQUIZA (URBANO) (140201),GUALAQUIZA (URBANO) (140201),GUALAQUIZA (URBANO)
CUCHAENTZA (140162),CUCHAENTZA (140162),CUCHAENTZA
EL CARMEN (050201),EL CARMEN (050201),EL CARMEN
VILLA LA UNION (CAJABAMBA) (060350),VILLA LA UNION (CAJABAMBA) (060350),VILLA LA UNION (CAJABAMBA)
LUZ DE AMERICA (230153),LUZ DE AMERICA (230153),LUZ DE AMERICA
BALNEARIO JAMBELI (SATELITE) (071203),BALNEARIO JAMBELI (SATELITE) (071203),BALNEARIO JAMBELI (SATELITE)
QUERO (180650),QUERO (180650),QUERO
TOMAS DE BERLANGA (SANTO TOMAS) (200251),TOMAS DE BERLANGA (SANTO TOMAS) (200251),TOMAS DE BERLANGA (SANTO TOMAS)
PANCHO NEGRO (030452),PANCHO NEGRO (030452),PANCHO NEGRO
CLEMENTE BAQUERIZO (120101),CLEMENTE BAQUERIZO (120101),CLEMENTE BAQUERIZO
PAN DE AZUCAR (140851),PAN DE AZUCAR (140851),PAN DE AZUCAR
BELLAMARIA (071257),BELLAMARIA (071257),BELLAMARIA
* GUANUJO (020152),* GUANUJO (020152),* GUANUJO (020152)
ZONA EN ESTUDIO: MATILDE ESTHER (GUAYAS- LOS RIOS) (900400),ZONA EN ESTUDIO: MATILDE ESTHER (GUAYAS- LOS RIOS) (900400),ZONA EN ESTUDIO: MATILDE ESTHER (GUAYAS- LOS RIOS)
PEÑAHERRERA (100354),PEÑAHERRERA (100354),PEÑAHERRERA
SANTA MARIA DEL TOACHI (230157),SANTA MARIA DEL TOACHI (230157),SANTA MARIA DEL TOACHI
ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES) (120851),ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES) (120851),ANTONIO SOTOMAYOR (CAB. EN PLAYAS DE VINCES)
*SAN JUAN BOSCO (140355),*SAN JUAN BOSCO (140355),*SAN JUAN BOSCO (140355)
GARCIA MORENO (040251),GARCIA MORENO (040251),GARCIA MORENO
COLAISACA (110251),COLAISACA (110251),COLAISACA
SUCRE (CAB. EN SUCRE-PATATE URCU) (180553),SUCRE (CAB. EN SUCRE-PATATE URCU) (180553),SUCRE (CAB. EN SUCRE-PATATE URCU)
SAN JOSE DE CHAMANGA (080358),SAN JOSE DE CHAMANGA (080358),SAN JOSE DE CHAMANGA
CHECA (CHILPA) (170159),CHECA (CHILPA) (170159),CHECA (CHILPA)
MANUEL J. CALLE (030451),MANUEL J. CALLE (030451),MANUEL J. CALLE
SUSCAL (030750),SUSCAL (030750),SUSCAL
BAHIA DE CARAQUEZ (RURAL) (131450),BAHIA DE CARAQUEZ (RURAL) (131450),BAHIA DE CARAQUEZ (RURAL)
SAN JUAN (170130),SAN JUAN (170130),SAN JUAN
LEONIDAS PLAZA GUTIERREZ (131402),LEONIDAS PLAZA GUTIERREZ (131402),LEONIDAS PLAZA GUTIERREZ
OTON (170254),OTON (170254),OTON
VENTURA (030362),VENTURA (030362),VENTURA
SAN MIGUEL (020550),SAN MIGUEL (020550),SAN MIGUEL
RIO VERDE (180253),RIO VERDE (180253),RIO VERDE
ATOCHA - FICOA (180101),ATOCHA - FICOA (180101),ATOCHA - FICOA
LA VICTORIA (110852),LA VICTORIA (110852),LA VICTORIA
EL LUCERO (110252),EL LUCERO (110252),EL LUCERO
SANTIAGO DE MENDEZ (140550),SANTIAGO DE MENDEZ (140550),SANTIAGO DE MENDEZ
LA MANA (RURAL) (050250),LA MANA (RURAL) (050250),LA MANA (RURAL)
CARCABON (070255),CARCABON (070255),CARCABON
CHONTADURO (080751),CHONTADURO (080751),CHONTADURO
SHIMPIS (141052),SHIMPIS (141052),SHIMPIS
CHIRIJOS (091003),CHIRIJOS (091003),CHIRIJOS
JIMBURA (110652),JIMBURA (110652),JIMBURA
MULLIQUINDIL (SANTA ANA) (050554),MULLIQUINDIL (SANTA ANA) (050554),MULLIQUINDIL (SANTA ANA)
